Company,ISIN,Ticker,Sector,currency,currentPrice,dividendRate,dividendYield,firstDividendDate,lastDividendDate,lastDividendValue,lastPriceWithDividend
SONOVA N,SOON.SW,SOON.SW,Healthcare,CHF,234.7,4.6,0.0196,2005-07-12,2023-06-14,4.6,236.1
STADLER RAIL N,SRAIL.SW,SRAIL.SW,Industrials,CHF,32.28,0.9,0.0279,2020-05-05,2023-05-16,0.9,36.64
ST GALLER KB N,SGKN.SW,SGKN.SW,Financial Services,CHF,500.0,17.0,0.034,2002-04-29,2023-05-05,17.0,480.5
STARRAGHECKERT N,STGN.SW,STGN.SW,Industrials,CHF,51.5,2.0,0.0388,1998-06-17,2023-04-25,2.0,47.6
STRAUMANN N,STMN.SW,STMN.SW,Healthcare,CHF,131.8,0.8,0.0061000003,1999-05-27,2023-04-11,0.8,134.1
SULZER N,SUN.SW,SUN.SW,Industrials,CHF,87.65,3.5,0.0399,1995-05-15,2023-04-21,3.5,74.7
SWISS FIN&PROP INV N,SFPN.SW,SFPN.SW,Real Estate,CHF,86.0,3.6,0.0419,2014-04-14,2023-04-11,3.6,86.4
SWATCH GROUP I,UHR.SW,UHR.SW,Consumer Cyclical,CHF,245.8,6.0,0.024400001,1999-06-28,2023-05-12,6.0,291.6
SWATCH GROUP N,UHRN.SW,UHRN.SW,Consumer Cyclical,CHF,46.7,1.2,0.0257,1999-06-28,2023-05-12,1.2,53.2
SWISS LIFE HOLDING AG N,SLHN.SW,SLHN.SW,Financial Services,CHF,537.4,30.0,0.0558,2005-05-11,2023-05-03,30.0,544.0
SWISS PRIME SITE N,SPSN.SW,SPSN.SW,Real Estate,CHF,83.6,3.4,0.040700004,2005-05-02,2023-03-28,3.4,73.3
SWISS RE N,SREN.SW,SREN.SW,Financial Services,CHF,84.6,5.75,0.068,1995-12-01,2023-04-14,6.4,87.74
SWISSCOM N,SCMN.SW,SCMN.SW,Communication Services,CHF,530.4,22.0,0.041500002,1999-06-04,2023-03-30,22.0,572.8
TECAN GROUP AG N,TECN.SW,TECN.SW,Healthcare,CHF,347.2,2.9,0.0084,2000-05-22,2023-04-20,2.9,393.7
TEMENOS N,TEMN.SW,TEMN.SW,Technology,CHF,67.36,1.1,0.0163,2013-05-28,2023-05-05,1.1,72.36
U-BLOX N,UBXN.SW,UBXN.SW,Technology,CHF,78.0,2.0,0.0256,2012-04-27,2022-07-07,2.6,94.0
TORNOS N,TOHN.SW,TOHN.SW,Industrials,CHF,5.8,0.3,0.0517,2018-07-11,2023-04-12,0.3,6.34
