Company,Ticker
GSK PLC ORD 31 1/4P,GSK.L
CONVATEC GROUP PLC ORD 10P,CTEC.L
RENTOKIL INITIAL PLC ORD 1P,RTO.L
SEGRO PLC ORD 10P,SGRO.L
BAE SYSTEMS PLC ORD 2.5P,BA..L
HALMA PLC ORD 10P,HLMA.L
RECKITT BENCKISER GROUP PLC ORD 10P,RKT.L
LAW DEBENTURE CORPORATION PLC ORD 5P,LWDB.L
SAGE GROUP PLC ORD 1 4/77P,SGE.L
SEQUOIA ECONOMIC INFRASTRUCTURE INC ORD NPV,SEQI.L
LONDON STOCK EXCHANGE GROUP PLC ORD SHS 6 79/86P,LSEG.L
ABRDN UK SMALL.CO'S GROWTH TST PLC ORD 25P,AUSC.L
RATHBONES GROUP PLC ORD 5P,RAT.L
FINSBURY GROWTH & INCOME TRUST PLC ORD 25P,FGT.L
LINDSELL TRAIN INVESTMENT TRUST PLC ORD 75P,LTI.L
SAVILLS PLC ORD 2.5P,SVS.L
PENDRAGON PLC ORD 5P,PDG.L
PARAGON BANKING GROUP PLC ORD 100P,PAG.L
DIAGEO PLC ORD 28 101/108P,DGE.L
NATWEST GROUP PLC ORD 107.69P,NWG.L
DARKTRACE PLC ORD GBP0.01,DARK.L
RIGHTMOVE  PLC ORD 0.1P,RMV.L
IBSTOCK PLC ORD 1P,IBST.L
INTERCONTINENTAL HOTELS GROUP PLC ORD 20 340/399P,IHG.L
PERSHING SQUARE HOLDINGS LTD ORD NPV,PSH.L
VESUVIUS PLC ORD 10P,VSVS.L
3I GROUP PLC ORD 73 19/22P,III.L
WINCANTON PLC ORD 10P,WIN.L
BAILLIE GIFFORD US GROWTH TRUST PLC ORD GBP0.01,USA.L
UTILICO EMERGING MARKETS TRUST PLC ORD 1P,UEM.L
TAYLOR MARITIME INVESTMENTS LIMITED ORD NPV,TMIP.L
STS GLOBAL INCOME & GROWTH TST PLC RED ORDS 1P,STS.L
SCHRODER ORIENTAL INCOME FUND LD ORD 1P,SOI.L
SCHRODER JAPAN TRUST PLC ORD 10P,SJG.L
STRATEGIC EQUITY CAPITAL PLC ORD 10P,SEC.L
SCHRODER UK MID CAP FD PLC ORD 25P,SCP.L
SCHRODER INCOME GROWTH FUND PLC ORD 10P,SCF.L
SCOTTISH AMERICAN INV CO PLC ORD 25P,SAIN.L
RIGHTS & ISSUES INV TST PLC ORD 25P,RIII.L
PERSONAL ASSETS TRUST PLC ORD GBP0.125,PNL.L
PREMIER FOODS PLC ORD 10P,PFD.L
ORYX INTERNATIONAL GROWTH FUND LD ORD 50P,OIG.L
MOTORPOINT GROUP PLC ORD 1P,MOTR.L
MEARS GROUP PLC ORD 1P,MER.L
MARSTON'S PLC ORD 7.375P,MARS.L
KENMARE RESOURCES PLC ORD EUR0.001 (CDI),KMR.L
INVESCO PERPETUAL UK SMLR CO IT PLC ORD 20P,IPU.L
INVESCO ASIA TRUST PLC ORD 10P,IAT.L
HISCOX LD ORD 6.5P (DI),HSX.L
HOSTELWORLD GROUP PLC ORD EUR0.01,HSW.L
GENUS PLC ORD 10P,GNS.L
MJ GLEESON PLC ORD 2P,GLE.L
GCP INFRASTRUCTURE INVESTMENTS LD ORD 1P,GCP.L
FIDELITY ASIAN VALUES PLC ORD 25P,FAS.L
EDINBURGH INV TST PLC ORD 25P,EDIN.L
DIPLOMA PLC ORD 5P,DPLM.L
DOWNING RENEWABLES & INFRASTRUCTURE ORD GBP0.01,DORE.L
CHESNARA PLC ORD 5P,CSN.L
CT UK HIGH INCOME TRUST PLC ORD 0.1P,CHI.L
BLUEFIELD SOLAR INCOME FUND LIMITED ORD NPV,BSIF.L
BLACKROCK FR ORD USD0.01,BRFI.L
HOLLYWOOD BOWL GROUP PLC ORD 1P,BOWL.L
BANKERS INV TST PLC ORD 2.5P,BNKR.L
BH MACRO LD ORD NPV (GBP),BHMG.L
BAILLIE GIFFORD EUROPEAN GROWTH TRU ORD 2.5P,BGEU.L
ARTEMIS ALPHA TRUST PLC ORD 1P,ATS.L
ABERFORTH SPLIT LEVEL INCOME TRUST ORD 1P,ASIT.L
APTITUDE SOFTWARE GROUP PLC ORD 7 1/3P,APTD.L
ALFA FINANCIAL SOFTWARE HOLDINGS PL ORD 0.1P,ALFA.L
AVI JAPAN OPPORTUNITY TRUST PLC ORD 1P,AJOT.L
ASHOKA INDIA EQUITY INVESTMENT TRUS ORD 1P,AIE.L
ABRDN ASIA FOCUS PLC ORD 5P,AAS.L
IMPERIAL BRANDS PLC ORD 10P,IMB.L
ABRDN PLC ORD 13 61/63P,ABDN.L
NETWORK INTERNATIONAL HOLDINGS PLC ORD 10P,NETW.L
DECHRA PHARMACEUTICALS PLC ORD 1P,DPH.L
HOWDEN JOINERY GROUP PLC ORD 10P,HWDN.L
NINETY ONE PLC ORD £0.0001,N91.L
TRUSTPILOT GROUP PLC ORD GBP0.01,TRST.L
BERKELEY GROUP HOLDINGS (THE) PLC ORD 5.4141P,BKG.L
JLEN ENVIRONMENTAL ASSETS GROUP LTD ORD NPV,JLEN.L
JPMORGAN JAPANESE INV. TRUST PLC ORD 25P,JFJ.L
UNITED UTILITIES GROUP PLC ORD 5P,UU..L
EUROPEAN ASSETS TRUST PLC ORD GBP0.10,EAT.L
JPMORGAN EURO DISCOVERY TRUST PLC ORD 5P,JEDT.L
WPP PLC ORD 10P,WPP.L
SUPERMARKET INCOME REIT PLC ORD GBP0.01,SUPR.L
SERCO GROUP PLC ORD 2P,SRP.L
RIO TINTO PLC ORD 10P,RIO.L
RS GROUP PLC ORD 10P,RS1.L
MID WYND INTL INV TST PLC ORD 5P,MWY.L
CRODA INTERNATIONAL PLC ORD 10.609756P,CRDA.L
SIG PLC ORD 10P,SHI.L
MARSHALLS PLC ORD 25P,MSLH.L
DOMINO'S PIZZA GROUP PLC ORD  25/48P,DOM.L
IP GROUP PLC ORD 2P,IPO.L
IWG PLC ORD 1P,IWG.L
URBAN LOGISTICS REIT PLC ORD 1P,SHED.L
NORTH AMERICAN INCOME TST (THE) PLC ORD 5P,NAIT.L
SMITH & NEPHEW PLC ORD USD0.20,SN..L
FRASERS GROUP PLC ORD 10P,FRAS.L
UP GLOBAL SOURCING HOLDINGS PLC ORDS 0.25P,UPGS.L
CVC INCOME & GROWTH LIMITED ORD NPV GBP,CVCG.L
SOFTCAT PLC ORD £0.0005,SCT.L
GREENCOAT UK WIND PLC ORD 1P,UKW.L
ABRDN PROPERTY INCOME TRUST LIMITED ORD 1P,API.L
HSBC HLDGS PLC ORD $0.50 (UK REG),HSBA.L
EXPERIAN PLC ORD USD0.10,EXPN.L
CARNIVAL PLC ORD USD 1.66,CCL.L
TEMPLE BAR INV TST PLC ORD 5P,TMPL.L
ASSURA PLC ORD 10P,AGR.L
DIVERSIFIED ENERGY COMPANY PLC ORD 1P,DEC.L
VINACAPITAL VIETNAM OPP. FUND  LD ORD $0.01,VOF.L
TT ELECTRONICS PLC ORD 25P,TTG.L
OCTOPUS RENEWABLES INFRASTRUCTURE T ORD 1P,ORIT.L
SMITHS NEWS PLC ORD 5P,SNWS.L
JPMORGAN MID CAP INV TRUST PLC ORD 25P,JMF.L
DCC PLC ORD EUR0.25 (CDI),DCC.L
SAFESTORE HOLDINGS PLC ORD 1P,SAFE.L
LAND SECURITIES GROUP PLC ORD 10 2/3P,LAND.L
SCHRODER REAL ESTATE INV. TST. LD ORD SHS NPV,SREI.L
BLACKROCK LATIN AMERICAN INV TSTPLC ORD US$0.10,BRLA.L
NEWRIVER REIT PLC ORD 1P,NRR.L
SEVERN TRENT PLC ORD 97 17/19P,SVT.L
SCHRODER ASIAN TOTAL RETURN INV CO ORD 5P,ATR.L
BIOTECH GROWTH TRUST (THE) PLC ORD 25P,BIOG.L
CITY OF LONDON INVESTMENT GROUP PLC ORD 1P,CLIG.L
IMPAX ENVIRONMENTAL MARKETS PLC ORD 10P,IEM.L
FERREXPO PLC ORD 10P,FXPO.L
INTERMEDIATE CAPITAL GROUP PLC ORD 26 1/4P,ICP.L
NB GLOBAL MONTHLY INCOME FUND LD RED ORD SHS NPV £,NBMI.L
EDINBURGH WORLDWIDE INV TRUST PLC ORD 1P,EWI.L
VOLUTION GROUP PLC ORD GBP0.01,FAN.L
THE GLOBAL SMALLER CO'S TRUST PLC ORD 2.5P,GSCT.L
AJ BELL PLC ORD GBP0.000125,AJB.L
AUCTION TECHNOLOGY GROUP PLC ORD 0.01P,ATG.L
CQS NATURAL RES GROWTH & INCOME PLC ORD 25P,CYN.L
SPIRAX-SARCO ENGINEERING PLC ORD 26 12/13P,SPX.L
SEVERFIELD PLC ORD 2.5P,SFR.L
GRAFTON GROUP PLC UT (1 ORD) (CDI),GFTU.L
POLAR CAPITAL GLOBAL FIN. TST PLC ORD 5P,PCFT.L
PICTON PROPERTY INCOME LD ORD NPV,PCTN.L
SMITHSON INVESTMENT TRUST PLC ORD 1P,SSON.L
AVIVA PLC ORD 32 17/19P,AV..L
MONTANARO UK SMLR COS INV TST PLC ORD 2P,MTU.L
STANDARD CHARTERED PLC ORD USD0.50,STAN.L
HENDERSON INTERNATIONAL INC.TST PLC ORD 1P,HINT.L
BT GROUP PLC ORD 5P,BT.A.L
BALFOUR BEATTY PLC ORD 50P,BBY.L
JPMORGAN GLOBAL GWTH & INC PLC ORD 5P,JGGI.L
WORLDWIDE HEALTHCARE TRUST PLC ORD 2.5P,WWH.L
RENEWI PLC ORD GBP1.00,RWI.L
FUTURE PLC ORD 15P,FUTR.L
RIVERSTONE ENERGY LIMITED ORD NPV,RSE.L
REDROW PLC ORD 10.5P,RDW.L
ELEMENTIS PLC ORD 5P,ELM.L
PETERSHILL PARTNERS PLC ORD USD0.01,PHLL.L
TBC BANK GROUP PLC ORD GBP0.01,TBCG.L
TRIFAST PLC ORD 5P,TRI.L
APAX GLOBAL ALPHA LIMITED ORD NPV,APAX.L
RHI MAGNESITA N.V. ORD EUR1.00 (DI),RHIM.L
TRITAX BIG BOX REIT PLC ORD 1P,BBOX.L
PACIFIC HORIZON INV TST PLC ORD 10P,PHI.L
ICG ENTERPRISE TRUST PLC ORD 10P,ICGT.L
MERCHANTS TRUST PLC ORD 25P,MRCH.L
BARCLAYS PLC ORD 25P,BARC.L
ENTAIN PLC ORD EUR0.01,ENT.L
ALLIANCE TRUST PLC ORD 2.5P,ATST.L
BELLWAY PLC ORD 12.5P,BWY.L
ANGLO AMERICAN PLC ORD USD0.54945,AAL.L
PALACE CAPITAL PLC ORD 10P,PCA.L
JUST GROUP PLC ORD 10P,JUST.L
MURRAY INTERNATIONAL TRUST PLC ORD 5P,MYI.L
AO WORLD PLC ORD 0.25P,AO..L
B&M EUROPEAN VALUE RETAIL S.A. ORD 10P (DI),BME.L
TARGET HEALTHCARE REIT PLC ORD 1P,THRL.L
STHREE PLC ORD 1P,STEM.L
C&C GROUP PLC ORD EUR0.01 (CDI),CCR.L
WITAN INV TST PLC ORD 5P,WTAN.L
DR. MARTENS PLC ORD GBP0.01,DOCS.L
ANTOFAGASTA PLC ORD 5P,ANTO.L
F&C INVESTMENT TRUST PLC ORD 25P,FCIT.L
MONTANARO EUROPEAN SMALLER C.TSTPLC ORD 5P,MTE.L
UNITE GROUP PLC ORD 25P,UTG.L
ABERFORTH SMALLER COMPANIES TST PLC ORD 1P,ASL.L
GLENCORE PLC ORD USD0.01,GLEN.L
WHITBREAD PLC ORD 76 122/153P,WTB.L
MORGAN SINDALL GROUP PLC ORD 5P,MGNS.L
HG CAPITAL TRUST PLC ORD 2.5P,HGT.L
TEN ENTERTAINMENT GROUP PLC ORD 1P,TEG.L
ATRATO ONSITE ENERGY PLC ORD GBP0.01,ROOF.L
HENDERSON SMALLER COS INV TST PLC ORD 25P,HSL.L
ASHMORE GROUP PLC ORD 0.01P,ASHM.L
JPMORGAN UK SMALLER CO. INV TST PLC ORD 5P,JMI.L
METRO BANK HOLDINGS PLC ORD 0.0001P,MTRO.L
EMPIRIC STUDENT PROPERTY PLC ORD GBP0.01,ESP.L
JPMORGAN ASIA GROWTH & INCOME PLC ORD 25P,JAGI.L
HILTON FOOD GROUP PLC ORD 10P,HFG.L
BARRATT DEVELOPMENTS PLC ORD 10P,BDEV.L
TRAVIS PERKINS PLC ORD £0.11205105,TPK.L
FIDELITY EMERGING MARKETS LIMITED PTG NPV,FEML.L
RENISHAW PLC ORD 20P,RSW.L
DIVERSE INCOME TRUST (THE) PLC ORD 0.1P,DIVI.L
BODYCOTE PLC ORD 17 3/11P,BOY.L
VODAFONE GROUP PLC ORD USD0.20 20/21,VOD.L
PZ CUSSONS PLC ORD 1P,PZC.L
INTERNATIONAL PUBLIC PARTNERSHIP LD ORD 0.01P,INPP.L
JPMORGAN AMERICAN IT PLC ORD 5P,JAM.L
BLACKROCK SMALLER COMPANIES TST PLC ORD 25P,BRSC.L
WOOD GROUP (JOHN) PLC ORD 4 2/7P,WG..L
GENUIT GROUP PLC ORD GBP0.001,GEN.L
JD SPORTS FASHION PLC ORD 0.05P,JD..L
M&G PLC ORD £0.05,MNG.L
BRIDGEPOINT GROUP PLC ORD GBP0.00005,BPT.L
FOXTONS GROUP PLC ORD 1P,FOXT.L
POLLEN STREET PLC ORD 1P,POLN.L
SIRIUS REAL ESTATE LD ORD NPV,SRE.L
NB PRIVATE EQUITY PARTNERS LD ORD USD0.01,NBPE.L
LXI REIT PLC ORD 1P,LXI.L
PAGEGROUP PLC ORD 1P,PAGE.L
PEARSON PLC ORD 25P,PSON.L
IG GROUP HOLDINGS PLC ORD 0.005P,IGG.L
HARBOURVEST GLOBAL PRIVATE EQUITY L ORD NPV,HVPE.L
RESIDENTIAL SECURE INCOME PLC ORD GBP0.01,RESI.L
OXFORD INSTRUMENTS PLC ORD 5P,OXIG.L
TEMPLETON EMERGING MARKETS IT PLC ORD 5P,TEM.L
PERSIMMON PLC ORD 10P,PSN.L
PETS AT HOME GROUP PLC ORD 1P,PETS.L
BANK OF GEORGIA GROUP PLC ORD 1P,BGEO.L
ABRDN DIVERSIFIED INCOME AND GROWTH ORD 25P,ADIG.L
CUSTODIAN PROPERTY INCOME REIT PLC ORD 1P,CREI.L
KINGFISHER PLC ORD 15 5/7P,KGF.L
HELIOS TOWERS PLC ORD 1P,HTWS.L
PHOENIX GROUP HOLDINGS PLC ORD 10P,PHNX.L
REDDE NORTHGATE PLC ORD 50P,REDD.L
BRITISH LAND CO PLC ORD 25P,BLND.L
CREST NICHOLSON HOLDINGS PLC ORD 5P,CRST.L
MARTIN CURRIE GLB PORTFOLIO TST PLC ORD 5P,MNP.L
LEGAL & GENERAL GROUP PLC ORD 2 1/2P,LGEN.L
LLOYDS BANKING GROUP PLC ORD 10P,LLOY.L
BELLEVUE HEALTHCARE TRUST PLC RED ORD 1P,BBH.L
ASTRAZENECA PLC ORD SHS $0.25,AZN.L
ST.JAMES'S PLACE PLC ORD 15P,STJ.L
INTERNATIONAL DISTRIBUTIONS SERVICE ORD 1P,IDS.L
GORE STREET ENERGY STORAGE FUND PLC ORD GBP0.01,GSF.L
