Company,ISIN,Ticker,Sector,currency,currentPrice,dividendRate,dividendYield,dividendYieldAPI,longestYieldStrike,yearTimePeriod,yieldCounter,yieldRatio,firstDividendDate,lastDividendDate,lastDividendValue,lastPriceWithDividend
Rcs Mediagroup,IT0004931496,RCS.MI,Communication Services,EUR,0.695,0.06,8.57,0.0857,4,21,10,47.61904761904761,2001-05-21,2023-05-22,0.06,0.7260000109672546
Saras,IT0000433307,SRS.MI,Energy,EUR,1.218,0.19,15.56,0.15560001,4,15,7,46.666666666666664,2007-05-07,2023-05-22,0.19,1.0755000114440918
Ovs,IT0005043507,OVS.MI,Consumer Cyclical,EUR,2.206,0.06,2.73,0.0273,1,6,2,33.33333333333333,2016-06-06,2023-06-19,0.06,2.4119999408721924
Zucchi,IT0005395071,ZUC.MI,Consumer Cyclical,EUR,2.34,0.47,20.07,0.2007,4,22,7,31.818181818181817,2000-05-22,2023-07-03,0.1184,2.411600112915039
Abitare In,IT0005445280,ABT.MI,Real Estate,EUR,5.42,0.38,7.04,0.0704,0,4,1,25.0,2018-07-09,2021-06-21,0.0,6.119999885559082
D'Amico,LU2592315662,DIS.MI,Industrials,EUR,4.122,0.16,3.95,0.0395,1,14,3,21.428571428571427,2008-05-19,2023-06-19,0.018,3.819999933242798
Borgosesia,IT0003217335,BO.MI,Consumer Cyclical,EUR,0.704,0.02,3.48,0.0348,1,21,2,9.523809523809524,2001-12-27,2023-06-05,0.07200000000000001,0.706000030040741
The Italian Sea Group,IT0005439085,TISG.MI,Consumer Cyclical,EUR,7.65,0.27,3.6,0.036,0,2022,0,0.0,2023-05-02,2023-05-02,0.272,8.377999305725098
Civitanavi Systems,IT0005466153,CNS.MI,Technology,EUR,3.76,0.13,3.53,0.0353,0,2022,0,0.0,2023-05-08,2023-05-08,0.13,3.6100001335144043
Illimity Bank,IT0005359192,ILTY.MI,Financial Services,EUR,6.13,0.18,2.88,0.028800001,0,2022,0,0.0,2023-05-22,2023-05-22,0.18,6.230000019073486
Intercos,IT0005455875,ICOS.MI,Consumer Defensive,EUR,13.96,0.17,1.19,0.0119,0,2022,0,0.0,2023-05-08,2023-05-08,0.16622,15.853779792785645
Industrie De Nora,IT0005186371,DNR.MI,Basic Materials,EUR,17.68,0.12,0.68,0.0068,0,2022,0,0.0,2023-05-22,2023-05-22,0.12,18.720001220703125
Bastogi Spa,IT0004412497,B.MI,Industrials,EUR,0.59,0.01,1.53,0.0153,0,14,0,0.0,2008-10-06,2008-10-06,0.0,2.158381938934326
Mfe A,NL0015000MZ1,MFEA.MI,Communication Services,EUR,0.4618,0.05,10.67,0.1067,0,0,0,0,2022-09-19,2023-07-24,0.05,0.46050000190734863
Ariston Holding,NL0015000N33,ARIS.MI,Utilities,EUR,7.015,0.13,1.81,0.018099999,0,0,0,0,2022-05-23,2023-05-22,0.13,9.84999942779541
